,Andaman and Nicobar Islands,Andhra Pradesh,Arunachal Pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,Dadar Nagar Haveli,Delhi,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka,Kerala,Ladakh,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Odisha,Puducherry,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telengana,Tripura,Uttarakhand,Uttar Pradesh,West Bengal
521,33.0,1640.0,1.0,48.0,571.0,57.0,59.0,0.0,5192.0,7.0,5219.0,648.0,54.0,678.0,127.0,556.0,502.0,43.0,2733.0,10318.0,2.0,12.0,1.0,,307.0,9.0,1794.0,3404.0,,5882.0,1015.0,133.0,53.0,3066.0,1136.0
522,33.0,1709.0,1.0,54.0,593.0,139.0,59.0,0.0,5567.0,7.0,5488.0,681.0,59.0,684.0,129.0,571.0,510.0,43.0,2843.0,11726.0,2.0,12.0,1.0,,393.0,10.0,1819.0,3485.0,,6282.0,1035.0,148.0,54.0,3204.0,1193.0
523,33.0,1763.0,1.0,54.0,629.0,178.0,62.0,0.0,5897.0,16.0,5880.0,706.0,59.0,720.0,136.0,597.0,512.0,43.0,3089.0,12583.0,2.0,12.0,1.0,,436.0,10.0,1847.0,3680.0,,7128.0,1043.0,152.0,56.0,3238.0,1221.0
524,33.0,1809.0,1.0,55.0,653.0,179.0,64.0,0.0,6267.0,16.0,6169.0,750.0,61.0,774.0,141.0,608.0,515.0,43.0,3267.0,13404.0,4.0,12.0,1.0,,497.0,10.0,1870.0,3786.0,0.0,7491.0,1065.0,153.0,56.0,3406.0,1281.0
525,33.0,1856.0,1.0,55.0,702.0,186.0,67.0,0.0,6540.0,19.0,6412.0,765.0,63.0,809.0,148.0,654.0,521.0,43.0,3408.0,14600.0,4.0,12.0,1.0,,550.0,12.0,1898.0,3848.0,0.0,8324.0,1090.0,165.0,58.0,3538.0,1339.0
527,33.0,2009.0,1.0,62.0,900.0,187.0,79.0,0.0,7223.0,28.0,7139.0,824.0,67.0,833.0,175.0,748.0,542.0,43.0,3689.0,16954.0,4.0,12.0,1.0,0.0,733.0,12.0,1918.0,4171.0,0.0,9342.0,1284.0,165.0,64.0,3698.0,1486.0
528,33.0,2057.0,1.0,87.0,1083.0,187.0,83.0,0.0,7264.0,37.0,7549.0,838.0,70.0,854.0,185.0,781.0,552.0,43.0,3927.0,17918.0,4.0,12.0,1.0,0.0,733.0,12.0,1918.0,4457.0,0.0,9909.0,1284.0,165.0,79.0,3991.0,1578.0
529,33.0,2125.0,1.0,104.0,1211.0,189.0,83.0,0.0,7495.0,38.0,8003.0,881.0,70.0,859.0,212.0,834.0,555.0,43.0,4050.0,18616.0,5.0,12.0,1.0,0.0,887.0,14.0,1946.0,4817.0,0.0,10548.0,1345.0,167.0,79.0,4215.0,1668.0
531,33.0,2289.0,1.0,163.0,1618.0,189.0,102.0,0.0,8075.0,41.0,9230.0,971.0,111.0,908.0,256.0,997.0,575.0,43.0,4444.0,28081.0,8.0,12.0,1.0,0.0,1050.0,14.0,1967.0,5739.0,0.0,12000.0,1412.0,172.0,102.0,4410.0,1970.0
601,33.0,2349.0,1.0,185.0,1710.0,199.0,115.0,0.0,8478.0,42.0,9919.0,1048.0,120.0,927.0,256.0,1218.0,590.0,43.0,4842.0,29329.0,11.0,12.0,1.0,0.0,1126.0,25.0,1987.0,5927.0,0.0,12757.0,1428.0,173.0,102.0,4709.0,2157.0
