,Andaman and Nicobar Islands,Andhra Pradesh,Arunachal Pradesh,Assam,Bihar,Chandigarh,Chhattisgarh,Dadar Nagar Haveli,Delhi,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu and Kashmir,Jharkhand,Karnataka,Kerala,Ladakh,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Odisha,Puducherry,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telengana,Tripura,Uttarakhand,Uttar Pradesh,West Bengal
522,33.0,2647.0,1.0,203.0,1982.0,217.0,128.0,1.0,11659.0,52.0,12905.0,1031.0,152.0,1449.0,290.0,1605.0,690.0,44.0,5981.0,41642.0,25.0,14.0,1.0,,1103.0,20.0,2028.0,6227.0,,13967.0,1699.0,173.0,146.0,5515.0,3197.0
523,33.0,2709.0,1.0,259.0,2177.0,218.0,172.0,1.0,12319.0,54.0,13268.0,1067.0,168.0,1489.0,308.0,1743.0,732.0,44.0,6170.0,44582.0,26.0,14.0,1.0,,1189.0,26.0,2029.0,6494.0,,14753.0,1761.0,175.0,153.0,5735.0,3332.0
524,33.0,2757.0,1.0,329.0,2380.0,225.0,214.0,2.0,12910.0,55.0,13664.0,1131.0,185.0,1569.0,350.0,1959.0,795.0,49.0,6371.0,47190.0,29.0,14.0,1.0,,1269.0,26.0,2045.0,6742.0,1.0,15512.0,1813.0,189.0,244.0,6017.0,3459.0
525,33.0,2823.0,1.0,378.0,2587.0,238.0,252.0,2.0,13418.0,66.0,14056.0,1184.0,203.0,1621.0,370.0,2089.0,847.0,52.0,6665.0,50231.0,32.0,14.0,1.0,,1336.0,41.0,2060.0,7028.0,1.0,16277.0,1854.0,191.0,317.0,6268.0,3667.0
527,33.0,3171.0,2.0,616.0,2983.0,266.0,361.0,2.0,14465.0,67.0,14821.0,1305.0,247.0,1759.0,426.0,2283.0,963.0,53.0,7024.0,54758.0,39.0,15.0,1.0,4.0,1517.0,46.0,2106.0,7536.0,1.0,17728.0,1991.0,207.0,401.0,6548.0,4009.0
528,33.0,3171.0,2.0,781.0,3061.0,279.0,369.0,2.0,15257.0,68.0,15195.0,1381.0,273.0,1921.0,448.0,2418.0,1004.0,53.0,7261.0,56948.0,44.0,20.0,1.0,4.0,1593.0,46.0,2139.0,7703.0,1.0,18545.0,2098.0,230.0,469.0,6991.0,4192.0
529,33.0,3251.0,3.0,856.0,3296.0,288.0,399.0,2.0,16281.0,69.0,15562.0,1504.0,276.0,2036.0,469.0,2533.0,1088.0,73.0,7453.0,59546.0,55.0,21.0,1.0,18.0,1660.0,51.0,2158.0,8067.0,1.0,19372.0,2256.0,242.0,500.0,7170.0,4536.0
531,33.0,3569.0,4.0,1185.0,3636.0,289.0,447.0,2.0,18549.0,70.0,16343.0,1923.0,313.0,2341.0,563.0,2922.0,1208.0,74.0,7891.0,65168.0,62.0,27.0,1.0,36.0,1819.0,51.0,2233.0,8617.0,1.0,21184.0,2499.0,268.0,749.0,7445.0,5130.0
601,33.0,3679.0,4.0,1272.0,3815.0,293.0,498.0,2.0,19844.0,70.0,16779.0,2091.0,331.0,2446.0,610.0,3221.0,1269.0,74.0,8089.0,67655.0,71.0,27.0,1.0,43.0,1948.0,70.0,2263.0,8831.0,1.0,22333.0,2698.0,313.0,907.0,7823.0,5501.0
602,33.0,3783.0,22.0,1390.0,3926.0,294.0,547.0,3.0,20834.0,71.0,17200.0,2356.0,340.0,2601.0,659.0,3408.0,1326.0,77.0,8283.0,70013.0,83.0,27.0,1.0,43.0,2104.0,74.0,2301.0,8980.0,1.0,23495.0,2792.0,420.0,958.0,8075.0,5772.0
603,33.0,3898.0,22.0,1513.0,4155.0,301.0,564.0,4.0,22132.0,79.0,17617.0,2652.0,345.0,2718.0,712.0,3796.0,1412.0,81.0,8420.0,72300.0,89.0,27.0,13.0,49.0,2245.0,82.0,2342.0,9373.0,1.0,24586.0,2891.0,468.0,1043.0,8361.0,6168.0
604,33.0,4080.0,38.0,1672.0,4390.0,301.0,668.0,8.0,23645.0,79.0,18100.0,2954.0,359.0,2857.0,752.0,4063.0,1494.0,90.0,8588.0,74860.0,118.0,33.0,14.0,58.0,2388.0,82.0,2376.0,9652.0,2.0,25872.0,3020.0,468.0,1085.0,8729.0,6508.0
605,33.0,4223.0,42.0,1988.0,4493.0,301.0,756.0,12.0,25004.0,166.0,18584.0,3281.0,383.0,3142.0,793.0,4320.0,1588.0,90.0,8762.0,77793.0,124.0,33.0,17.0,80.0,2478.0,82.0,2415.0,9862.0,2.0,27256.0,3147.0,644.0,1153.0,9237.0,6876.0
606,33.0,4303.0,45.0,2153.0,4596.0,304.0,879.0,14.0,26334.0,196.0,19094.0,3597.0,393.0,3324.0,881.0,4835.0,1699.0,97.0,8996.0,80229.0,132.0,33.0,22.0,94.0,2608.0,99.0,2461.0,10084.0,3.0,28694.0,3290.0,692.0,1215.0,9733.0,7303.0
607,33.0,4510.0,47.0,2397.0,4915.0,309.0,923.0,19.0,27654.0,267.0,19592.0,3952.0,400.0,3467.0,1000.0,5213.0,1807.0,99.0,9228.0,82968.0,157.0,33.0,24.0,107.0,2781.0,99.0,2515.0,10331.0,7.0,30152.0,3496.0,747.0,1303.0,9733.0,7738.0
